Vardi,Dzimums,Skaits
"ABU SOHAIL UR REHMAN","VĪRIETIS",1
"ABUBAKAR","VĪRIETIS",1
"ABUBAKARS","VĪRIETIS",1
"ABUBAKIR","VĪRIETIS",2
"ABUBAKR","VĪRIETIS",5
"ABUBE KALVINS","VĪRIETIS",1
"ABUDUMIJITI","SIEVIETE",2
"ABUDUMIJITI","VĪRIETIS",1
"ABUHARIS","VĪRIETIS",1
"ABUJUNAID HABIB","VĪRIETIS",1
"ABUL","VĪRIETIS",1
"ABULFAZ","VĪRIETIS",1
"ABULFAZS","VĪRIETIS",1
"ABULGASS","VĪRIETIS",1
"ABUMUSLIMJON","VĪRIETIS",1
"ABUZAR","VĪRIETIS",3
"ABUZARS","VĪRIETIS",2
"ABUZER","VĪRIETIS",1
"ABUĻFATS","VĪRIETIS",1
"ABY","VĪRIETIS",2
"ABY ERIC ROMUALD","VĪRIETIS",1
"ABYSHAN","VĪRIETIS",1
"ABĒNS","VĪRIETIS",1
"ABĪHA FATIMA","SIEVIETE",1
"ACACIO DANIEL EMAN","VĪRIETIS",1
"ACE","VĪRIETIS",1
"ACHIM","VĪRIETIS",1
"ACHIM SIEGFRIED","VĪRIETIS",1
"ACHINI KALPANA","SIEVIETE",1
"ACHRAF","VĪRIETIS",3
"ACHU","VĪRIETIS",2
"ACHYUTH","VĪRIETIS",1
"ACHYUTRAJ RAJAN","VĪRIETIS",1
"ACO","VĪRIETIS",1
"ADA","SIEVIETE",65
"ADA AMANDA","SIEVIETE",1
"ADA ANNA","SIEVIETE",1
"ADA AURORA","SIEVIETE",1
"ADA MEDALITH","SIEVIETE",1
"ADA MICHALINA","SIEVIETE",1
"ADA NIKITA","SIEVIETE",1
"ADA PAULA","SIEVIETE",1
"ADA SOFĪ","SIEVIETE",1
"ADAEZE ELIZABETE","SIEVIETE",1
"ADAHAMJON","VĪRIETIS",1
"ADAJA","SIEVIETE",1
"ADAL","VĪRIETIS",1
"ADALARDS","VĪRIETIS",1
"ADALARS LINDBERGS","VĪRIETIS",1
"ADALATS","VĪRIETIS",1
"ADALBERT","VĪRIETIS",1
"ADALETA","SIEVIETE",1
"ADALETS","VĪRIETIS",2
"ADALFĪNE","SIEVIETE",1
"ADALINA","SIEVIETE",2
"ADALINA LEA","SIEVIETE",1
"ADALINDA","SIEVIETE",1
"ADALINE","SIEVIETE",2
"ADALĪNA","SIEVIETE",2
"ADALĪNA EMMA","SIEVIETE",1
"ADALĪNA SĀRA","SIEVIETE",1
"ADAM","VĪRIETIS",27
"ADAM BARRY","VĪRIETIS",1
"ADAM BILAL","VĪRIETIS",1
"ADAM CHRISTIAAN","VĪRIETIS",1
"ADAM DALE JOHN","VĪRIETIS",1
"ADAM DANIEL","VĪRIETIS",1
"ADAM FERENC","VĪRIETIS",1
"ADAM FILIP PAER","VĪRIETIS",1
"ADAM GEORGE","VĪRIETIS",1
"ADAM HARIS","VĪRIETIS",1
"ADAM IBRAHIM","VĪRIETIS",1
"ADAM JOHN","VĪRIETIS",1
"ADAM JOSEPH","VĪRIETIS",1
"ADAM LAYTH WAIL","VĪRIETIS",1
"ADAM NACER","VĪRIETIS",1
"ADAM ROMAN","VĪRIETIS",1
"ADAM TOMAS","VĪRIETIS",1
"ADAM TOMASZ","VĪRIETIS",1
"ADAM WILLIAM","VĪRIETIS",1
"ADAMA ELIZABETE","SIEVIETE",1
"ADAMAS VLADIMIRAS","VĪRIETIS",1
"ADAMMA EIMI","SIEVIETE",1
"ADAMS","VĪRIETIS",157
"ADAMS AFIFS","VĪRIETIS",1
"ADAMS ALEKSANDRS","VĪRIETIS",1
"ADAMS ALEKSANDRS DŽIHADS","VĪRIETIS",1
"ADAMS AMĪRS","VĪRIETIS",1
"ADAMS ANATOLIJS","VĪRIETIS",1
"ADAMS ANDRĒ","VĪRIETIS",1
"ADAMS ARTEMJEVIČS","VĪRIETIS",1
"ADAMS ARTURS","VĪRIETIS",1
"ADAMS AŠRAFS","VĪRIETIS",1
"ADAMS BENJAMINS","VĪRIETIS",1
"ADAMS DANIELS","VĪRIETIS",2
"ADAMS DAVIDS","VĪRIETIS",1
"ADAMS DEIVIDS","VĪRIETIS",1
"ADAMS DŽAMALS SALE","VĪRIETIS",1
"ADAMS DŽEIMSS","VĪRIETIS",2
"ADAMS DŽEKS","VĪRIETIS",1
"ADAMS DŽONS LĀNSS","VĪRIETIS",1
"ADAMS DŽONS ROBERTS","VĪRIETIS",1
"ADAMS DŽORDANS","VĪRIETIS",1
"ADAMS DŽULIANS","VĪRIETIS",1
"ADAMS EDGARS","VĪRIETIS",1
"ADAMS EDVARDS","VĪRIETIS",1
"ADAMS ERNESTS","VĪRIETIS",1
"ADAMS ERVĪNS","VĪRIETIS",1
"ADAMS GREGORIJS","VĪRIETIS",1
"ADAMS HAIDERS","VĪRIETIS",1
"ADAMS HAIMS","VĪRIETIS",1
"ADAMS HAMZA","VĪRIETIS",1
